0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
-0.30885172,-0.20937721,-0.1724747,-0.05806678,-0.3906109,0.2617663,-0.2507921,-0.06270821,-0.28288102,-0.05074757,-0.2719713,-0.26393512,0.21484767,0.3020129,-0.6966569,-0.10529192,-0.041356906,0.16748905,-0.12964089,-0.008390627,-0.23061602,0.43551546,-0.15816608,-0.15811081,-0.12668426,-0.05338385,-0.2354248,-0.1671521,0.25886655,0.25889856,-0.6858244,0.028143266,0.007855079,0.15599559
-0.2298938,-0.16050112,-0.17189747,-0.14362115,-0.3213462,0.2716405,-0.15274131,-0.21290106,0.19450743,-0.12970945,-0.16472207,-0.19764647,0.07283625,0.17951238,-0.6486703,-0.15869354,-0.10509392,0.10045161,-0.15807147,-0.031509843,-0.26412833,0.29095528,-0.06403223,-0.15852612,0.16322084,0.042033188,-0.034401786,-0.1869265,0.095402785,0.13094762,-0.49753264,-0.09548119,-0.10948407,0.16476586
-0.24693589,-0.27237314,-0.17132685,-0.27293482,-0.36575067,0.1796581,0.011974755,0.1414218,-0.02450636,-0.31761438,-0.0012698206,-0.017132942,0.0133835655,0.15665863,-0.31430194,-0.0031502298,0.13072956,-0.02718656,-0.0812938,-0.38295734,-0.35788342,0.23424257,0.06636724,0.055834774,0.0075209676,-0.32258165,-0.06799906,-0.04811933,-0.010146961,0.10931769,-0.3706087,-0.06752837,0.09772846,0.011923246
-0.25540078,-0.18625829,-0.06255463,-0.25597784,-0.4113632,0.015126432,0.10672322,-0.16205503,0.123557575,-0.11485264,0.06562002,-0.108502105,-0.006219786,0.3254635,-0.5110299,-0.12255257,0.05271395,-0.012995254,-0.2123243,-0.16520953,-0.31808048,0.17177576,0.18634784,-0.11837435,0.065298595,-0.12422299,0.05900864,-0.13370883,0.025805991,0.1187512,-0.47690034,0.01319434,0.1636282,-0.0029361928
0.10276663,0.089130275,-0.6124521,0.17695387,-0.53537273,-0.86123884,0.5695922,-0.14707096,0.08718148,-0.2967424,0.036210496,0.5398764,-0.2475739,0.3617192,0.46548256,-0.4401511,0.16470215,-0.23797192,-0.705369,0.41225815,-0.36698,-0.723195,0.532487,-0.18001296,0.32221767,-0.29778698,0.063994445,0.641577,-0.21617316,0.45261595,0.46326312,-0.405048,-0.116465636,-0.22477555
-0.2627455,-0.23611535,0.019674692,-0.15748523,-0.46375802,0.19672135,0.1121357,0.019989656,-0.0702451,-0.25439987,0.053540505,-0.38536668,-0.060747616,0.20458622,-0.38329062,-0.050151195,0.19102722,-0.026491717,-0.16126417,-0.09990623,-0.28857028,0.23692949,0.14675851,-0.06225062,-0.13547906,-0.24962567,0.07738822,-0.3623158,-0.1822824,0.18755908,-0.3755154,-0.10281799,0.12443187,0.040401313
-0.22975576,-0.26924995,-0.2122047,-0.18350719,-0.35023355,0.12236701,0.08870053,0.115009196,-0.098491095,-0.040172756,0.019243574,-0.1673037,-0.08452182,-0.0023822852,-0.3754464,0.026631892,0.10426057,-0.06419338,-0.20015895,-0.26317263,-0.50068057,0.24496005,0.20738907,0.05646358,-0.09430505,0.0073746215,-0.011819847,-0.17547444,-0.16846083,0.08513608,-0.27540988,0.035433814,0.039961554,0.073189594
-0.18360813,-0.20503253,0.3393427,-0.12868632,0.01905191,-0.15280747,-0.00087405153,-0.20848869,-0.24005088,0.24246329,-0.050940238,0.20053756,-0.03420762,0.16600299,-0.07766218,0.1883835,-0.14734255,-0.19565222,0.29662204,-0.14704822,-0.15870808,0.102419876,-0.13635238,-0.16318159,-0.33473912,0.26526782,-0.21590391,0.120452255,-0.11288644,0.05587019,-0.14682329,0.05798415,-0.32953796,-0.280469
-0.11642557,-0.11837413,-0.020934463,-0.13387397,0.17908782,-0.037038505,-0.1348626,0.041970726,-0.18819945,0.34616026,0.14560694,-0.080334686,-0.0036653774,-0.19077715,-0.12249563,-0.30535433,-0.14957464,0.039621122,-0.14723727,0.055595893,0.1276862,-0.068381526,-0.14624158,-0.14049079,0.027228285,0.28317538,0.06296557,-0.15531042,-0.27426443,-0.16934362,-0.28725183,-0.3281844,-0.13440692,-0.0147164995
0.02899337,0.16342719,0.31095684,0.23604995,0.10684114,0.0672903,-0.094133876,0.26138243,-0.214289,-0.015754377,0.3324511,0.52751046,-0.47625038,-0.16066019,-0.22892053,-0.05230153,0.4503002,0.15250856,0.53156346,0.23796235,0.21127488,-0.072031036,0.09562642,-0.023139242,-0.12694627,-0.3110923,0.20724483,0.38722366,-0.18377,-0.15569939,0.03717969,-0.095046066,0.48956078,0.14499208
-0.15066606,-0.115894035,0.26978093,-0.28143892,-0.021720627,-0.37318102,0.04696382,0.26429853,-0.097863086,0.15609725,0.008790958,-0.14202826,-0.44773147,-0.113145575,0.024111383,-0.0973849,-0.077311344,0.061893605,0.22448488,-0.09259737,0.089971974,-0.30052468,-0.01804196,0.016909685,-0.1400355,0.14286304,-0.026132029,-0.09221413,-0.21373719,-0.1420054,0.18529467,-0.12954605,-0.24761535,-0.020293914
-0.19411004,-0.14846857,-1.020794,-0.075119294,-0.4422605,0.1673807,0.17596264,-0.36975664,0.17334597,-0.13556668,-0.11719189,-0.28422317,0.010874631,0.3084894,0.31016642,-0.2392289,0.040580478,0.1920516,-0.88966465,0.041099012,-0.4193944,0.14286816,0.19472922,-0.30089366,0.19158305,-0.083110966,0.04356091,-0.29819056,0.06285711,0.18263794,0.4866303,-0.19900066,0.18230656,-0.11898678
-0.2919034,-0.23168615,-0.1656528,-0.0684963,0.18177046,0.0812715,-0.020143574,0.15350842,0.081823915,0.16263948,-0.15913035,-0.06474275,-0.104206,-0.30606154,0.20360175,-0.67074186,-0.1526382,0.078355506,-0.28677604,-0.026846327,0.046357747,0.11350337,0.013722552,0.17715348,0.053192887,0.081013784,-0.21932241,-0.060809534,-0.21176279,-0.39411494,0.106206656,-0.5003039,-0.18133585,0.22700661
-0.07278335,0.011541076,-0.40134457,0.19071002,0.11620136,0.5530759,0.07256254,-0.0012606228,-0.16733313,-0.25939813,-0.2110135,0.03053226,0.1684672,-0.029694473,0.08960514,-0.5786587,-0.19464149,-0.34499443,-0.34194008,0.18220106,0.22599196,0.6252455,0.28296813,-0.046176065,-0.13669348,-0.32145268,-0.105506025,0.12177384,0.24140391,0.029833179,0.074454874,-0.6250715,-0.037858307,-0.3834973
0.6979406,0.7390394,0.10360025,0.3133738,-0.9701139,0.12833273,-0.45265016,0.10543347,0.342571,-0.9529481,0.6807467,0.9378796,-0.0010599975,-0.5789904,0.45359206,0.20853086,1.1890959,0.7263792,-0.012898712,0.2689889,-0.9208229,0.08160717,-0.38151327,0.12907055,0.3296241,-0.93450046,0.6295616,0.89382887,0.17413153,-0.6494274,0.3154821,0.16735896,1.2858663,0.79673976
0.09422099,0.18112408,0.24651934,-0.15689304,-0.19652623,0.2747234,-0.30241218,0.14729002,-0.30560535,0.059517246,-0.47696805,0.39319265,0.47993353,-0.25979236,-0.7902762,-0.43382254,0.25381288,0.009885851,0.15556331,-0.13052794,-0.23476982,0.30349573,-0.099250756,0.22323121,-0.4654645,0.15714729,-0.6367502,0.6262747,0.40966228,-0.557297,-0.9364101,-0.36176643,0.33302683,-0.21656357
0.4584177,0.5451539,-0.06435675,-0.15641,-0.7375811,0.25149965,0.063560024,0.2130256,-0.29524812,1.0710803,0.5938201,0.5677538,0.6159424,-0.79292005,0.19080451,-0.0057343175,-0.753443,0.10801358,-0.013220658,-0.29630318,-0.7247871,0.30060366,0.14050083,0.18900251,-0.1740539,1.0967224,0.85109,0.49599442,0.72798306,-0.6148688,0.10115976,-0.017840859,-0.85102695,0.16293846
-0.045391094,-0.039032392,0.36597785,-0.5078094,-0.42092538,0.3071389,-0.3308763,-0.54710805,0.09126742,0.027309783,-0.22854349,0.4167451,0.13281293,0.19200285,0.3086161,0.123607606,0.13972977,-0.03142467,0.33786955,-0.50181717,-0.26493636,0.36473587,-0.24452847,-0.35867262,0.03355473,-0.12996723,-0.23099066,0.42105144,0.1261132,0.31098843,0.21275266,0.11121287,0.2196747,-0.05625465
-0.12021782,-0.09854966,-0.038438495,-0.46326673,-0.06279864,0.14657213,-0.1081648,0.08000564,0.023605883,0.19024923,-0.45621043,0.3654566,-0.04741713,0.16275845,-0.12221947,0.12340361,-0.020174708,-0.09975641,-0.00412518,-0.5589935,0.041203983,0.22995119,0.00015683306,0.06444338,-0.1253533,0.29748163,-0.3970599,0.32491088,-0.075388186,0.2404959,-0.14812787,0.07903016,-0.04703907,-0.101077616
0.15000401,0.29712418,0.44186816,0.0051743435,-0.24465153,-0.39355835,0.2843967,0.17014311,-0.06413307,0.39318568,-0.14740185,0.15546763,-0.105930276,0.2879159,-0.15435976,0.08703719,-0.1279473,0.6176239,0.569412,0.019610582,-0.12542987,-0.2624652,0.49175882,0.20638691,-0.09927938,0.44575998,-0.04962552,0.22335541,-0.0008142634,0.26380095,-0.020596327,0.12331161,-0.10357989,0.7970786
