0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-0.40691927,-0.32219583,-0.5663145,0.025690462,0.83601874,-0.34144232,0.37765557,-0.16875699,0.36300293,0.1102665,-0.541183,0.05414426,0.817515,-0.31598702,0.2643831,-0.20403379,0.3821531,0.03807089
-0.012566653,0.07548509,-0.41980356,0.26871747,-0.032763876,0.09660665,0.81039006,-0.18847212,0.436874,0.04942078,-0.43316162,0.18961225,-0.1647038,-0.015346837,0.81241846,-0.32218996,0.37781966,0.08788575
-0.6035657,-0.58308053,-0.28518352,-0.11724511,0.44504154,0.3425568,0.507313,0.21966127,0.71660995,-0.20728666,-0.27208304,-0.17731743,0.50877756,0.31193346,0.4412356,0.1699278,0.69518316,-0.22684643
-0.11420619,-0.04975936,-1.0503917,0.24695835,0.5892408,0.6206,0.5874099,0.816443,-0.5803188,0.42109352,-1.0635718,0.17546006,0.6352372,0.8294439,0.5660511,0.78125113,-0.66191584,0.44728518
0.43694922,0.6051386,-0.29256663,-0.9581343,-0.47517166,0.19102457,0.88872224,-0.83937323,-0.34938797,0.39156038,-0.32882705,-0.9527369,-0.303574,0.16651964,0.97608334,-0.8744262,-0.4786457,0.49584988
0.7125738,0.86013675,-0.2852571,0.6102339,-0.83955824,-0.30260506,-0.39699513,-0.22559212,-0.15296905,-0.4634732,-0.25163308,0.41937894,-0.7396689,-0.21546356,-0.23811358,-0.22680259,-0.3470507,-0.37736908
-0.42685452,-0.35922995,-0.7796449,0.030258147,0.37907147,-0.42228442,0.7097994,-0.7889959,0.081153534,0.068980955,-0.8948288,-0.13089556,0.4097351,-0.6413832,0.72082055,-0.6932291,0.045091838,-0.06390668
-0.3211482,-0.1447177,0.26778814,-0.3438584,0.4023892,-0.025275934,1.7351799,-0.054447483,0.47771624,-0.3482546,0.15526608,-0.38054037,0.5077656,-0.02368846,1.5885106,-0.055978168,0.5119129,-0.36092255
1.3402957,1.4573412,-0.0617632,0.041870497,-0.47657737,-0.4593297,0.35843214,-0.86455214,-0.9030733,-0.822842,-0.057632137,0.050202873,-0.48705348,-0.56957656,0.33563575,-0.91825825,-1.0563302,-0.8028366
-0.7893445,-0.7249986,-0.21153773,-0.28044197,0.55128807,0.5154512,0.60862815,0.10392433,0.56207806,-0.10740798,-0.18603233,-0.32814804,0.58528537,0.54099506,0.578607,0.14718792,0.63446164,-0.08423077
0.0040119085,0.1252999,-0.7336535,0.34297755,-0.3113868,0.02879777,1.237048,-0.68365693,-0.4318415,0.09886832,-0.6665433,0.370129,-0.27115616,0.028302558,1.1226299,-0.6457375,-0.5042615,-0.04967628
-0.12071118,0.028184474,-0.8516208,-0.030154262,0.26135397,-0.5247579,0.65765834,-0.569882,0.39331824,-0.45536453,-0.92014223,-0.111546814,0.30586842,-0.35601106,0.54244953,-0.48316076,0.3539972,-0.5378183
-0.77415246,-0.705261,-0.27638096,0.5129834,0.6490311,-0.67004097,0.5505779,-0.14132209,0.765862,-0.176436,-0.23396532,0.49804044,0.6040406,-0.6606503,0.43365616,-0.20518109,0.7120933,-0.1817713
-0.7632837,-0.7137538,-0.1421132,-0.0841,0.42438483,0.46341032,0.86771363,0.09479159,0.59415877,-0.20897543,-0.12302293,-0.21452609,0.4240199,0.42449734,0.76719624,0.14728975,0.56780684,-0.14566122
-0.3577636,-0.26835915,-0.3779916,-0.55523217,-0.07027213,0.120206244,-0.37753823,-0.26730847,0.34802005,0.28490108,-0.35808727,-0.53490114,-0.29180378,0.13689555,-0.5382249,-0.06867765,0.4645531,0.34129333
0.19714788,0.2610797,-0.0052420674,-0.5664788,-0.09326621,0.3570467,1.0071212,0.6655621,0.8862391,-0.44658616,0.11855581,-0.5111872,-0.060697872,0.38729742,0.9025524,0.63395244,1.0023775,-0.56449825
-0.7482895,-0.7213302,-0.12989628,-0.07871207,0.46348578,0.45237705,0.82298964,0.09835868,0.5503078,-0.12208395,-0.072770506,-0.24861507,0.4491592,0.4678505,0.79503435,0.19496197,0.5789756,-0.20425579
-0.814302,-0.7627903,-0.22636265,0.30301797,0.9631876,-0.4128645,0.46462113,-0.3153449,0.48927796,-0.25104433,-0.120570056,0.25243115,0.8282023,-0.48146313,0.6261499,-0.26333323,0.49030945,-0.06397427
0.06552582,0.102728404,-0.18640505,-0.15120108,-0.39596802,0.15671562,0.2515875,0.08155936,0.9891277,-0.2661974,-0.22884864,-0.09126335,-0.407256,0.20151167,0.23334454,0.12596937,1.0441288,-0.20666529
