"","species_new","trait_ind","emb_ind","phylo_ind"
"225","Acacia prominens",233,336,17623
"226","Acacia pruinocarpa",234,337,17648
"227","Acacia pustula",235,339,17407
"228","Acacia pycnantha",236,340,17406
"229","Acacia quadrilateralis",237,341,17405
"230","Acacia racospermoides",238,342,17404
"231","Acacia ramulosa",239,344,17530
"232","Acacia resinimarginea",240,345,17402
"233","Acacia retinodes",241,346,17401
"234","Acacia retivenea",242,347,17654
"235","Acacia rhodoxylon",243,348,17400
"236","Acacia rigens",244,349,17564
"237","Acacia rothii",245,351,17399
"238","Acacia sakalava",246,353,17687
"239","Acacia salicina",247,354,17671
"240","Acacia saligna",248,355,17669
"241","Acacia sclerosperma",249,356,17397
"242","Acacia senegal",250,358,17733
"243","Acacia sertiformis",251,359,17396
"244","Acacia seyal",252,360,17395
"245","Acacia shirleyi",253,361,17394
"246","Acacia sieberiana",255,363,17393
"247","Acacia simsii",256,364,17676
"248","Acacia spectabilis",258,367,17609
"249","Acacia spinescens",259,368,17672
"250","Acacia stenophylla",260,370,17580
"251","Acacia suaveolens",261,373,17659
"252","Acacia subcaerulea",262,374,17390
"253","Acacia subulata",263,375,17644
"254","Acacia sulcata",264,376,17389
"255","Acacia tenuissima",265,378,17556
"256","Acacia terminalis",266,380,17388
"257","Acacia tetragonophylla",267,381,17656
"258","Acacia tortilis",268,383,17387
"259","Acacia torulosa",269,384,17386
"260","Acacia trachyphloia",270,385,17608
"261","Acacia trineura",271,386,17385
"262","Acacia triptera",272,387,17646
"263","Acacia tropica",273,388,17572
"264","Acacia ulicifolia",274,389,17384
"265","Acacia umbellata",275,390,17537
"266","Acacia uncinata",276,392,17382
"267","Acacia verticillata",277,394,17586
"268","Acacia vestita",278,395,17615
"269","Acacia victoriae",279,396,17662
"270","Acacia wilhelmiana",280,400,17378
"271","Acacia xiphophylla",281,401,17377
"272","Acacia yorkrakinensis",282,402,17376
"273","Acaena anserinifolia",284,403,18857
"274","Acaena argentea",285,404,18858
"275","Acaena echinata",286,408,18860
"276","Acaena magellanica",287,410,18861
"277","Acaena novae-zelandiae",288,411,18856
"278","Acaena ovalifolia",289,412,18863
"279","Acaena pinnatifida",290,414,18859
"280","Acalypha australis",292,418,22764
"281","Acalypha brachiata",293,419,22763
"282","Acalypha caturus",294,421,22761
"283","Acalypha ciliata",295,422,22760
"284","Acalypha cuneata",296,424,22758
"285","Acalypha diversifolia",297,426,22756
"286","Acalypha fruticosa",298,430,22752
"287","Acalypha indica",299,433,22750
"288","Acalypha lanceolata",300,434,22749
"289","Acalypha macrostachya",301,435,22771
"290","Acalypha ostryifolia",302,437,22767
"291","Acalypha paniculata",303,439,22746
"292","Acalypha phleoides",304,440,22768
"293","Acalypha polymorpha",305,442,22744
"294","Acalypha segetalis",306,444,22742
"295","Acalypha skutchii",307,445,22741
"296","Acalypha virginica",308,450,22770
"297","Acalypha welwitschiana",309,452,22735
"298","Acamptopappus shockleyi",310,453,1272
"299","Acamptopappus sphaerocephalus",311,454,1273
"300","Acanthephippium sylhetense",312,456,30195
"301","Acanthocereus tetragonus",313,459,12653
"302","Acantholimon diapensioides",314,481,14717
"303","Acanthophyllum mucronatum",315,567,13388
"304","Acanthoprasium frutescens",316,578,5636
"305","Acanthopsis disperma",317,580,6883
"306","Acanthorrhinum ramosissimum",318,582,7610
"307","Acanthosicyos naudinianus",319,583,20170
"308","Acanthospermum australe",321,584,464
"309","Acanthospermum hispidum",322,586,463
"310","Acanthus ilicifolius",324,590,6882
"311","Acanthus mollis",325,591,6879
"312","Acaulimalva purdiaei",326,594,24545
"313","Acca sellowiana",327,596,27710
"314","Acer amplum",329,597,25884
"315","Acer barbinerve",332,598,25893
"316","Acer caesium",333,599,25917
"317","Acer campestre",334,600,25903
"318","Acer cappadocicum",335,601,25904
"319","Acer caudatifolium",336,602,25898
"320","Acer caudatum",337,603,25890
"321","Acer circinatum",338,604,25888
"322","Acer cordatum",339,605,25883
"323","Acer crataegifolium",340,606,25897
"324","Acer davidii",341,607,25900
"325","Acer glabrum",342,610,25891
"326","Acer heldreichii",343,611,25909
"327","Acer hyrcanum",344,612,25907
"328","Acer japonicum",345,613,25885
"329","Acer laurinum",346,614,25921
"330","Acer macrophyllum",347,615,25918
"331","Acer mandshuricum",348,616,25914
"332","Acer monspessulanum",349,617,25910
"333","Acer negundo",350,618,25892
"334","Acer oblongum",351,619,25915
"335","Acer oliverianum",352,620,25889
"336","Acer opalus",353,621,25911
"337","Acer palmatum",354,622,25887
"338","Acer pensylvanicum",355,623,25899
"339","Acer pentapomicum",356,624,25881
"340","Acer pictum",357,625,25901
"341","Acer platanoides",358,626,25905
"342","Acer pseudoplatanus",359,627,25922
"343","Acer pseudosieboldianum",360,628,25886
"344","Acer pubipalmatum",361,629,25880
"345","Acer rubrum",362,608,25920
"346","Acer saccharinum",363,631,25919
"347","Acer saccharum",364,632,25912
"348","Acer sempervirens",365,633,25906
"349","Acer spicatum",366,635,25894
"350","Acer tataricum",367,636,25916
"351","Acer tegmentosum",368,637,25896
"352","Acer triflorum",369,638,25913
"353","Acer truncatum",370,639,25902
"354","Acer tschonoskii",371,640,25895
"355","Acer velutinum",372,642,25908
"356","Aceratium megalospermum",331,644,23036
"357","Achatocarpus praecox",373,648,14284
"358","Achillea ageratifolia",375,650,1943
"359","Achillea ageratum",376,651,1958
"360","Achillea alpina",377,652,1956
"361","Achillea arabica",378,655,1961
"362","Achillea aspleniifolia",379,657,1947
"363","Achillea atrata",380,658,1965
"364","Achillea clavennae",381,663,1953
"365","Achillea clusiana",382,664,1966
"366","Achillea erba-rotta",383,669,1967
"367","Achillea filipendulina",384,671,1954
"368","Achillea fragrantissima",385,672,1935
"369","Achillea leptophylla",387,680,1963
"370","Achillea ligustica",388,681,1968
"371","Achillea maritima",389,682,1932
"372","Achillea millefolium",390,678,1949
"373","Achillea nobilis",391,686,1952
"374","Achillea oxyloba",392,688,1964
"375","Achillea ptarmica",393,691,1972
"376","Achillea salicifolia",394,692,1970
"377","Achillea santolinoides",395,693,1974
"378","Achillea seidlii",396,690,1950
"379","Achillea tenuifolia",397,697,1975
"380","Achillea tomentosa",398,698,1926
"381","Achillea virescens",399,701,1951
"382","Achlys triphylla",400,702,29971
"383","Achyranthes aspera",401,710,14200
"384","Achyranthes bidentata",402,711,14201
"385","Achyrocline satureioides",403,718,691
"386","Achyrospermum schimperi",404,720,5635
"387","Acianthus exsertus",406,724,30193
"388","Acicarpha tribuloides",407,726,3720
"389","Acinos alpinus",408,730,5634
"390","Aciphylla aurea",410,732,4604
"391","Aciphylla subflabellata",411,748,4605
"392","Acmella bellidioides",412,754,527
"393","Acmella uliginosa",413,760,521
"394","Acnistus arborescens",414,761,10735
"395","Acokanthera oppositifolia",415,762,10197
"396","Acokanthera schimperi",416,763,10196
"397","Acomis acoma",417,764,764
"398","Aconitum alboviolaceum",418,768,29819
"399","Aconitum altaicum",419,769,29743
"400","Aconitum anthora",420,773,29828
"401","Aconitum baicalense",421,778,29796
"402","Aconitum burnatii",422,782,29736
"403","Aconitum chasmanthum",424,785,29734
"404","Aconitum columbianum",425,787,29797
"405","Aconitum degenii",426,793,29799
"406","Aconitum delphinifolium",427,794,29729
"407","Aconitum firmum",428,797,29801
"408","Aconitum gymnandrum",429,800,29789
"409","Aconitum jaluense",430,801,29809
"410","Aconitum leucostomum",431,813,29826
"411","Aconitum lycoctonum",432,816,29827
"412","Aconitum napellus",433,822,29806
"413","Aconitum nasutum",434,823,29791
"414","Aconitum orientale",435,827,29820
"415","Aconitum plicatum",436,832,29803
"416","Aconitum raddeanum",437,837,29706
"417","Aconitum sachalinense",438,842,29812
"418","Aconitum septentrionale",439,845,29822
"419","Aconitum soongaricum",440,850,29698
"420","Aconitum talassicum",441,855,29790
"421","Aconitum tauricum",442,857,29693
"422","Aconitum variegatum",443,783,29798
"423","Aconitum volubile",444,863,29811
"424","Aconitum vulparia",445,864,29690
"425","Aconogonon davisiae",446,868,14367
"426","Acorus calamus",447,874,36812
"427","Acosmium dasycarpum",448,876,17270
"428","Acourtia nana",449,878,3691
"429","Acrachne racemosa",450,880,32389
"430","Acradenia euodiiformis",451,881,25295
"431","Acrocarpus fraxinifolius",452,886,18221
"432","Acroceras amplectens",453,887,31900
"433","Acroceras attenuatum",454,888,31898
"434","Acroceras zizanioides",455,889,31899
"435","Acronychia acronychioides",457,891,25408
"436","Acronychia laevis",458,894,25406
"437","Acronychia oblongifolia",459,895,25411
"438","Acronychia tetrandra",460,899,25402
"439","Acronychia wilcoxiana",461,900,25410
"440","Acrotome fleckii",464,924,5633
"441","Acrotome inflata",465,925,5631
"442","Acrotriche aggregata",467,927,11444
"443","Acrotriche cordata",468,928,11443
"444","Acrotriche patula",469,929,11445
"445","Acrotriche rigida",470,931,11441
"446","Acrotriche serrulata",471,932,11440
"447","Actaea asiatica",473,937,29682
"448","Actaea dahurica",474,939,29681
"449","Actaea pachypoda",475,942,29685
"450","Actaea racemosa",476,944,29686
"451","Actaea rubra",477,945,29683
"452","Actaea spicata",478,947,29684
"453","Actinidia arguta",479,951,11540
"454","Actinidia callosa",480,952,11539
"455","Actinidia chinensis",481,953,11538
"456","Actinidia kolomikta",482,954,11542
"457","Actinidia polygama",483,957,11543
"458","Actinobole uliginosum",484,961,804
"459","Actinodaphne macrophylla",486,963,37579
"460","Actinodaphne obovata",487,966,37580
"461","Actinolema macrolema",488,969,4781
"462","Actinostemma lobatum",489,972,20238
"463","Actinostemon concolor",490,974,22463
"464","Actinostemon klotzschii",491,975,22462
"465","Actinotus gibbonsii",492,977,4815
"466","Actinotus helianthi",493,978,4817
"467","Actinotus minor",494,979,4814
"468","Adansonia digitata",495,982,24767
"469","Adelia triloba",496,983,22672
"470","Adelobotrys adscendens",497,984,26876
"471","Adelphia hiraea",498,986,20975
"472","Adenanthera abrosperma",500,989,18059
"473","Adenanthera pavonina",502,992,18060
